"times","S","E","On","Of","A","Q","Bs","Bp","v","w","N","POUD","actPOUD","prop.OAT","prop.capacity","dsct","cost","qaly","inj","du.init","date","B_total","O_total","active_users","coverage_rate","capacity_utilization","waiting_change","patients_change"
1485,34998.9946429247,31062.2551395722,5155.76409836216,764.272113383568,2504.88479101031,1.24975152457392,399.620657248624,1203.77840551494,0.608185567322687,0.805219702868924,76090.8195995411,10029.5698170442,5921.28596327031,0.15986718194421,0.174484053845068,0.885790993109139,1469.36172259478,145.856253022739,8568.63280146252,2.18864122851273,4.06849315068493,1603.39906276356,5920.03621174572,5921.28596327031,15.986718194421,91.6228035864891,0.000102234278431146,-0.0483037566855273
1486,34996.8623720337,31062.1037474919,5155.52194571535,764.484822329335,2504.84332628765,1.24985366493726,399.620655738588,1203.73023720179,0.608107997495633,0.805145245738496,76088.4169604632,10029.4508409376,5921.25662170962,0.159864275558928,0.174486123692531,0.885718656909129,1469.2052872686,145.839547296866,8568.49248501657,2.18856416301034,4.07123287671233,1603.35089294038,5920.00676804468,5921.25662170962,15.9864275558928,91.6200510251644,0.000102140363344105,-0.0481698231828886
1487,34994.730350547,31061.9522110532,5155.27974996945,764.697393482554,2504.80184958551,1.24995571149151,399.62065422778,1203.68220262462,0.608030481176178,0.805070824996324,76086.0143672016,10029.3318056014,5921.22709916349,0.159861383383183,0.174488194619568,0.885646326616298,1469.04896886397,145.822843477541,8568.35199448513,2.18848706840932,4.07397260273973,1603.3028568524,5919.977143452,5921.22709916349,15.9861383383183,91.6173061058512,0.000102046554251833,-0.048036087980563
1488,34992.5985784733,31061.8005302873,5155.0375111811,764.90982699564,2504.76036091046,1.25005766434252,399.6206527162,1203.63430158537,0.607953018288814,0.804996440615458,76083.6118198138,10029.2127110531,5921.19739584108,0.159858505397402,0.174490266625948,0.885574002230163,1468.89276720477,145.806141564636,8568.21133006246,2.18840994475536,4.07671232876712,1603.25495430157,5919.94733817674,5921.19739584108,15.9858505397402,91.6145688172328,0.000101952851005782,-0.047902550822073
1489,34990.4670558217,31061.6487052255,5154.79522940691,765.122123020786,2504.71886026905,1.25015952359598,399.620651203848,1203.58653388627,0.607875608758181,0.804922092568969,76081.2093183576,10029.0935573105,5921.16751195129,0.159855641582035,0.174492339711437,0.885501683750243,1468.73668211512,145.789441558024,8568.0704919426,2.18833279209409,4.07945205479452,1603.20718509012,5919.9173524277,5921.16751195129,15.9855641582035,91.611839148007,0.00010185925345918,-0.0477692114511683
1490,34988.3357826009,31061.4967358988,5154.55290470344,765.334281709966,2504.67734766783,1.25026128935744,399.620649690724,1203.53889932979,0.607798252509057,0.804847780829948,76078.8068628908,10028.9743443911,5921.13744770276,0.159852791917561,0.174494413875804,0.885429371176054,1468.58071341939,145.772743457575,8567.92948031939,2.18825561047108,4.08219178082192,1603.15954902051,5919.8871864134,5921.13744770276,15.9852791917561,91.6091170868863,0.000101765761464145,-0.0476360696115989
1491,34986.2047588196,31061.3446223385,5154.31053712723,765.546303214927,2504.63582311335,1.25036296173231,399.620648176828,1203.49139771864,0.607720949466364,0.804773505371509,76076.4044534708,10028.8550723127,5921.10720330389,0.159849956384481,0.174496489118816,0.885357064507115,1468.4248609422,145.756047263162,8567.78829538643,2.18817839993183,4.08493150684932,1603.11204589546,5919.85684034216,5921.10720330389,15.9849956384481,91.6064026225979,0.000101672374873685,-0.0475031250473421
1492,34984.0739844867,31061.1923645757,5154.06812673479,765.758187687197,2504.59428661214,1.25046454082586,399.620646662162,1203.4440288558,0.607643699555168,0.804699266166784,76074.0020901554,10028.7357410929,5921.0767789628,0.159847134963321,0.174498565440243,0.885284763742943,1468.26912450841,145.739352974657,8567.64693733712,2.18810116052179,4.08767123287671,1603.06467551796,5919.82631442198,5921.0767789628,15.9847134963321,91.6036957438835,0.000101579093540805,-0.0473703775030572
1493,34981.9434596108,31061.0399626417,5153.82567358258,765.969935278083,2504.55273817075,1.25056602674317,399.620645146724,1203.39679254451,0.607566502700673,0.804625063188929,76071.599773002,10028.6163507494,5921.04617488743,0.159844327634634,0.17450064283985,0.885212468883056,1468.11350394313,145.722660591932,8567.50540636461,2.18802389228636,4.09041095890411,1603.01743769124,5919.79560886067,5921.04617488743,15.9844327634634,91.6009964394993,0.000101485917318511,-0.0472378267236309
1494,34979.8131842006,31060.8874165676,5153.58317772706,766.18154613867,2504.51117779571,1.25066741958923,399.620643630515,1203.34968858827,0.607489358828227,0.804550896411117,76069.197502068,10028.4969012998,5921.01539128533,0.159841534378997,0.174502721317407,0.885140179926972,1467.95799907173,145.705970114856,8567.36370266188,2.18794659527088,4.09315068493151,1602.97033221878,5919.76472386573,5921.01539128533,15.9841534378997,91.5983046982162,0.000101392846060921,-0.0471054724544047
